name	link	short_desc	long_desc	price	lat	long	zipcode	region	state	open_date	close_date	snowfall	vertical	summit	acres	runs	lifts	green	blue	black	double_black	terrain_parks	epic	ikon	begineers	photo
Kirkwood	https://www.kirkwood.com/	Nestled in a remote part of the Sierra Nevada, Kirkwood offers a pure mountain escape that energizes your heart and liberates your spirit. It is a true sanctuary for freedom seekers and adventure families. Discover the Sierra’s best kept secret.	Kirkwood Mountain Resort is a year-round mountain destination located along the Sierra Crest in the Eldorado National Forest south of Lake Tahoe in California. The terrain at Kirkwood offers skiers and riders everything from long groomed trails to expert lines and chutes. The resort receives abundant snowfall each season coupled with spectacular views of the surrounding mountains. The village contains ski-in, ski-out accommodations with adjacent shops and restaurants. The resort also plays host to other activities, including cross country skiing, snowshoeing, dog sled tours and backcountry access.	119	38.668139	-120.065333	95646	Sierra Nevadas	California	11/27/2019	4/19/2020	354	2000	9800	2300	85	12	12	30	38	20	2	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/kirkwood.jpg
Heavenly	https://www.skiheavenly.com/	Few ski resorts can match Heavenly Ski Resort’s scenic beauty and expansive network of lifts, terrain, trails and snowmaking. Located on the south shore of Lake Tahoe, Heavenly is the region's largest ski area, featuring the highest elevation at 10,067 feet and longest vertical drop. Plus, the views of Lake Tahoe and the Sierra Nevada mountain range are magnificent.	High above the sapphire-blue waters of Lake Tahoe, Heavenly is one of the most unique snow resorts on the planet. Whether you and your friends come to ski and ride from sunrise to sunset, head out to explore the new craft beer scene, or simply unwind at the condo with the people you care about most, we’ve got you. Heavenly is all about a better way of being together. After all, the best way for friends and family to come together is to MOUNTAIN TOGETHER. The choices are endless.  Do you ski California or Nevada?  Will it be 34 miles of wide-open, groomed cruisers, 1,600 foot plunges in the double-black diamond canyons or the most outrageous tree skiing in North America?  You can make Heavenly your playground every time you visit.	174	38.957618	-119.941231	96150	Sierra Nevadas	California	11/27/2019	5/24/2020	360	3500	10067	4800	97	28	8	62	25	5	3	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/heavenly.jpg
Northstar	https://www.northstarcalifornia.com/	Northstar California, previously known as Northstar-at-Tahoe, is located near the north shore of Lake Tahoe and is home to over 3,000 acres of skiable terrain. The resort is known for its laidback atmosphere coupled with high-end luxury accommodations, shopping and dining.	Northstar California, previously known as Northstar-at-Tahoe, is located near the north shore of Lake Tahoe and is home to over 3,000 acres of skiable terrain. The resort is known for its laidback atmosphere coupled with high-end luxury accommodations, shopping and dining.	179	39.277093	-120.12148	96161	Sierra Nevadas	California	11/29/2019	4/19/2020	350	2280	8610	3170	100	20	13	60	27	0	5	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/northstar.jpg
Squaw Valley	https://squawalpine.com/	Squaw Valley | Alpine Meadows is an internationally renowned ski resort in North Lake Tahoe, California that spans more than 6,000 skiable acres after the two ski resorts joined forces in 2011. The ski resort features 42 lifts and 270 trails as well as the European-inspired Village at Squaw Valley featuring nearly 60 restaurants, bars, boutiques and art galleries.	Squaw Valley | Alpine Meadows is an internationally renowned ski resort in North Lake Tahoe, California that spans more than 6,000 skiable acres after the two ski resorts joined forces in 2011. The ski resort features 42 lifts and 270 trails as well as the European-inspired Village at Squaw Valley featuring nearly 60 restaurants, bars, boutiques and art galleries.	169	39.198649	-120.234092	96146	Sierra Nevadas	California	11/15/2019	5/31/2020	450	2850	9050	6000	245	42	25	42	33	0	7	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/squaw.jpg
Mammoth Mountain	https://www.mammothmountain.com/winter?utm_source=OnTheSnow&utm_medium=RMP&utm_campaign=W20	With the highest summit elevation in the state of California at 11,053 feet, Mammoth Mountain lives up to its name! Mammoth Mountain is home to several distinct base areas, including Main Lodge, Canyon Lodge, The Village, Eagle Lodge and The Mill. Most visitors stay in the town of Mammoth Lakes, which offers up restaurants, bars and plenty to do for those seeking a nightlife scene. Being situated within hours of Yosemite National Park, Lake Tahoeand June Mountain, the resort provides a great starting point to explore the Sierra Nevada Mountains.	With the highest summit elevation in the state of California at 11,053 feet, Mammoth Mountain lives up to its name! Mammoth Mountain is home to several distinct base areas, including Main Lodge, Canyon Lodge, The Village, Eagle Lodge and The Mill. Most visitors stay in the town of Mammoth Lakes, which offers up restaurants, bars and plenty to do for those seeking a nightlife scene. Being situated within hours of Yosemite National Park, Lake Tahoeand June Mountain, the resort provides a great starting point to explore the Sierra Nevada Mountains.	79	37.651225	-119.025606	93546	Sierra Nevadas	California	11/09/2019	7/26/2020	400	3100	11053	3500	154	25	25	40	20	15	7	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/mammoth.jpeg
Sierra at Tahoe	https://www.sierraattahoe.com/	Since its inception in 1946, Sierra-at-Tahoe Resort has grown into its role as one of Lake Tahoe's largest resort areas. Sierra-at-Tahoe features 14 chairlifts that access 2,000 acres of skiable terrain and 2,212 feet of vertical. The resort also provides five backcountry access gates into Huckleberry Canyon. The resort provides a wide range of restaurants, shops, bars and more. The South Shore of Lake Tahoe also offers plentiful lodging options for guests.	Since its inception in 1946, Sierra-at-Tahoe Resort has grown into its role as one of Lake Tahoe's largest resort areas. Sierra-at-Tahoe features 14 chairlifts that access 2,000 acres of skiable terrain and 2,212 feet of vertical. The resort also provides five backcountry access gates into Huckleberry Canyon. The resort provides a wide range of restaurants, shops, bars and more. The South Shore of Lake Tahoe also offers plentiful lodging options for guests.	125	38.801188	-120.07982	95735	Sierra Nevadas	California	11/30/2019	4/19/2020	460	2212	8852	2000	46	14	25	50	25	0	6	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/sierra-at-tahoe.jpg
Bear Valley	bearvalley.com	Located on Highway 4 between Lake Tahoe and Yosemite in the Central Sierra Nevada Mountain Range, Bear Valley Mountain Resort, CA, is a family-friendly resort that accommodates skiers and riders of all levels and abilities. The resort is known for being a relaxing High Sierra escape complete with gorgeous views of the surrounding mountains. Great weather makes for long days on the slopes, but when it's time to call it quits, there are excellent lodging options near the resort. Lodging options include Bear Valley Lodge and a multitude of cabins and vacation rentals near the ski resort.	Located on Highway 4 between Lake Tahoe and Yosemite in the Central Sierra Nevada Mountain Range, Bear Valley Mountain Resort, CA, is a family-friendly resort that accommodates skiers and riders of all levels and abilities. The resort is known for being a relaxing High Sierra escape complete with gorgeous views of the surrounding mountains. Great weather makes for long days on the slopes, but when it's time to call it quits, there are excellent lodging options near the resort. Lodging options include Bear Valley Lodge and a multitude of cabins and vacation rentals near the ski resort.	109	38.49279	-120.043199	95223	Sierra Nevadas	California	11/29/2019	4/19/2020	359	1900	8500	1680	75	10	11	41	45	4	2	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/bear-valley.jpg
Donner Ski Ranch	https://www.donnerskiranch.com/	Donner Ski Ranch was first utilized for skiing in 1937 and is located high atop historic Donner Summit. The area's first rope tow was located at the base of the current lodge. Today, Donner has 400 skiable acres, 5 double and 1 triple chairlifts.	Donner Ski Ranch was first utilized for skiing in 1937 and is located high atop historic Donner Summit. The area's first rope tow was located at the base of the current lodge. Today, Donner has 400 skiable acres, 5 double and 1 triple chairlifts.	79	39.317973	-120.329466	95724	Sierra Nevadas	California	12/20/2019	5/26/2020	400	750	8012	505	52	8	31	38	21	10	2	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/donner.jpg
Sugar Bowl	https://www.sugarbowl.com/home	Perched atop Tahoe’s Donner Summit, Sugar Bowl Resort is the closest major resort to Sacramento and the Bay Area. Sugar Bowl offers terrain to accommodate beginners and challenge experts, spreading across four peaks serviced by 13 lifts and 1500 acres with 500 inches of annual snowfall. As one of the country's oldest ski areas, Sugar Bowl has kept it's classic ski atmosphere while providing modern amenities. Guests can access the resort through two portals--a quick ride on the historic gondola to the snow bound Village or slope side parking at the modern Mt. Judah Day Lodge.	Perched atop Tahoe’s Donner Summit, Sugar Bowl Resort is the closest major resort to Sacramento and the Bay Area. Sugar Bowl offers terrain to accommodate beginners and challenge experts, spreading across four peaks serviced by 13 lifts and 1500 acres with 500 inches of annual snowfall. As one of the country's oldest ski areas, Sugar Bowl has kept it's classic ski atmosphere while providing modern amenities. Guests can access the resort through two portals--a quick ride on the historic gondola to the snow bound Village or slope side parking at the modern Mt. Judah Day Lodge.	127	39.302136	-120.331167	95724	Sierra Nevadas	California	11/29/2019	4/26/2020	500	1500	8383	375	105	12	15	45	28	12	3	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/sugar-bowl.jpg
Steamboat	https://www.steamboat.com/	Steamboat Ski Resort is a premier ski destination famous for its Champagne Powder®. The mountain is also known for its unique aspen glades, offering up some of the best tree skiing in North America. Steamboat ski resort is situated across seven mountain peaks within the Park Range and overlooks the Yampa Valley. The area has a rich western heritage and cowboy vibe that's celebrated throughout many annual events held on the mountain and in town, including the Cowboy Downhill and the Steamboat Winter Carnival. One of the largest ski resorts in Colorado, Steamboat Springs has been dubbed Ski Town, U.S.A. ®, due to the fact that more Olympians call Steamboat home than any other ski resor	Steamboat Ski Resort is a premier ski destination famous for its Champagne Powder®. The mountain is also known for its unique aspen glades, offering up some of the best tree skiing in North America. Steamboat ski resort is situated across seven mountain peaks within the Park Range and overlooks the Yampa Valley. The area has a rich western heritage and cowboy vibe that's celebrated throughout many annual events held on the mountain and in town, including the Cowboy Downhill and the Steamboat Winter Carnival. One of the largest ski resorts in Colorado, Steamboat Springs has been dubbed Ski Town, U.S.A. ®, due to the fact that more Olympians call Steamboat home than any other ski resor	199	40.45746	-106.803535	80487	Rockies	Colorado	11/15/2019	4/12/2020	336	3668	10568	2965	169	18	14	42	44	0	4	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/steamboat.jpeg
